,user_id,game_name,indicator-hours
443,11373749,The Elder Scrolls V Skyrim,220.0
445,11373749,Fallout 3 - Game of the Year Edition,105.0
447,11373749,Terraria,84.0
449,11373749,Grand Theft Auto V,61.0
452,11373749,The Witcher Enhanced Edition,56.0
453,11373749,Super Meat Boy,46.0
454,11373749,Left 4 Dead,44.0
455,11373749,Saints Row The Third,44.0
457,11373749,The Witcher 2 Assassins of Kings Enhanced Edition,39.0
469,11373749,Portal 2,22.0
470,11373749,Call of Duty Black Ops - Multiplayer,21.0
473,11373749,Chivalry Medieval Warfare,19.9
481,11373749,Tomb Raider,18.3
483,11373749,Half-Life 2,18.1
485,11373749,BioShock,17.1
490,11373749,The Walking Dead,14.0
495,11373749,Just Cause 2,12.7
503,11373749,Bastion,11.1
504,11373749,Call of Duty Modern Warfare 2,11.0
511,11373749,Dishonored,9.7
522,11373749,Call of Duty Modern Warfare 2 - Multiplayer,7.7
524,11373749,Call of Duty Black Ops,7.5
529,11373749,Goat Simulator,7.0
545,11373749,Counter-Strike Global Offensive,5.5
553,11373749,Cities Skylines,4.7
558,11373749,Portal,4.4
560,11373749,Torchlight II,4.2
580,11373749,Alien Swarm,2.7
588,11373749,Dungeon Defenders,2.3
592,11373749,Dota 2,2.2
601,11373749,Half-Life,1.5
610,11373749,Garry's Mod,1.3
613,11373749,Trine 2,1.0
615,11373749,Dark Souls Prepare to Die Edition,0.9
618,11373749,Unturned,0.8
620,11373749,Magicka,0.7
633,11373749,Counter-Strike Source,0.4
634,11373749,BattleBlock Theater,0.4
638,11373749,Fallout New Vegas,0.3
644,140293612,Dota 2,278.0
645,187851224,Dota 2,240.0
646,192921532,Dota 2,6.9
647,192921532,Unturned,1.2
648,54103616,Counter-Strike Global Offensive,1028.0
649,54103616,Counter-Strike,1008.0
650,54103616,Left 4 Dead,148.0
652,54103616,Team Fortress 2,72.0
653,54103616,H1Z1,36.0
654,54103616,The Elder Scrolls V Skyrim,35.0
655,54103616,Counter-Strike Source,32.0
656,54103616,Borderlands 2,21.0
657,54103616,PAYDAY The Heist,16.0
658,54103616,Left 4 Dead 2,15.8
660,54103616,Battlefield Bad Company 2,8.6
662,54103616,Portal 2,7.3
663,54103616,Dota 2,3.1
664,54103616,Alien Swarm,1.9
665,54103616,Terraria,1.7
669,222277839,Dota 2,86.0
671,298547051,Team Fortress 2,3.3
672,298547051,Dota 2,0.3
673,264253640,Dota 2,142.0
677,264253640,Warframe,4.2
680,264253640,Tom Clancy's Ghost Recon Phantoms - NA,1.1
685,125718844,Dota 2,1.1
686,230599183,Dota 2,2.3
688,38763767,Counter-Strike,0.8
689,164543231,Garry's Mod,105.0
690,164543231,Team Fortress 2,30.0
691,164543231,No More Room in Hell,25.0
692,164543231,Unturned,14.9
693,164543231,Arma 2,10.9
694,164543231,Counter-Strike Global Offensive,7.4
696,164543231,Robocraft,5.6
697,164543231,Saints Row The Third,3.4
698,164543231,Heroes & Generals,2.0
699,164543231,Dota 2,0.4
700,163617342,Dota 2,891.0
701,163617342,Counter-Strike Global Offensive,853.0
702,163617342,Heroes & Generals,3.3
703,163617342,Loadout,3.1
709,295931968,Team Fortress 2,6.6
710,165034415,Dota 2,3.6
711,298389371,Counter-Strike Global Offensive,231.0
712,298389371,H1Z1,6.6
714,126640783,Dota 2,9.9
715,119410870,Team Fortress 2,4.5
716,243440565,Counter-Strike Nexon Zombies,42.0
717,243440565,Dota 2,0.5
718,157694162,Dota 2,2.0
720,263856756,Grand Theft Auto V,499.0
721,124395695,Team Fortress 2,29.0
722,126656629,Dota 2,2.4
723,197821092,Dota 2,1.5
724,294797577,Dota 2,10.1
725,228507886,Dota 2,6.5
726,272425320,Nosgoth,5.4
727,49769103,Call of Duty Modern Warfare 2 - Multiplayer,153.0
728,49769103,Counter-Strike Source,63.0
729,49769103,Call of Duty Modern Warfare 2,26.0
730,49769103,Arma 2,22.0
731,49769103,Left 4 Dead 2,1.4
735,239397807,Dota 2,0.4
736,300601393,Counter-Strike Global Offensive,13.4
737,300601393,Euro Truck Simulator 2,12.0
738,109278470,Counter-Strike Global Offensive,75.0
739,109278470,Half-Life 2 Episode Two,0.5
740,109278470,Team Fortress 2,0.5
741,197509386,Dota 2,550.0
742,92842632,Team Fortress 2,27.0
743,92842632,Dungeon Defenders,16.8
744,92842632,Chivalry Medieval Warfare,6.9
745,103973922,Empire Total War,303.0
746,103973922,Napoleon Total War,3.5
747,5270060,Counter-Strike Source,12.2
748,5270060,Battlefield Bad Company 2,2.9
749,5270060,Team Fortress 2,0.9
751,5270060,Counter-Strike,0.1
752,171847029,Counter-Strike Global Offensive,639.0
753,171847029,DayZ,479.0
754,171847029,Heroes & Generals,70.0
755,171847029,PAYDAY 2,65.0
756,171847029,Grand Theft Auto V,33.0
757,171847029,War Thunder,30.0
758,171847029,Arma 3,19.8
760,171847029,H1Z1,11.3
761,171847029,Arma 2 Operation Arrowhead,4.2
763,171847029,Arma 2,2.3
764,171847029,Sniper Elite V2,1.7
765,171847029,Team Fortress 2,1.0
766,171847029,Rising Storm/Red Orchestra 2 Multiplayer,0.8
769,171847029,Just Cause 2,0.7
770,171847029,Robocraft,0.5
773,111479516,Dota 2,865.0
774,64350600,Counter-Strike,271.0
775,64350600,Heroes & Generals,16.7
776,64350600,Unturned,10.7
777,64350600,Left 4 Dead 2,8.6
779,64350600,Dota 2,2.4
785,64350600,Arma 2,0.2
787,117217039,Dota 2,60.0
789,93085014,Total War ROME II - Emperor Edition,31.0
790,93085014,Star Wars - Battlefront II,7.0
792,180331040,Dota 2,1256.0
793,180596443,PAYDAY The Heist,8.8
796,180596443,Marvel Heroes 2015,1.5
799,303032390,XCOM Enemy Unknown,110.0
800,150103338,Dota 2,1.9
802,92173524,Torchlight II,0.4
803,92173524,Dungeon Defenders,0.3
805,151229648,Starbound,153.0
806,151229648,DayZ,79.0
809,151229648,Clicker Heroes,13.3
810,151229648,H1Z1,12.3
811,151229648,PlanetSide 2,6.4
812,151229648,Marvel Heroes 2015,4.6
813,151229648,Left 4 Dead 2,2.7
814,151229648,PAYDAY The Heist,2.6
815,151229648,Batman Arkham City GOTY,2.3
817,151229648,Warface,1.4
818,151229648,Dirty Bomb,1.0
819,151229648,Nosgoth,0.9
820,151229648,Heroes & Generals,0.9
823,151229648,Batman Arkham Asylum GOTY Edition,0.3
824,151229648,Borderlands,0.3
826,151229648,Path of Exile,0.2
827,253773352,Unturned,0.3
828,250870371,Dota 2,0.3
829,175143479,Dota 2,1.9
831,56038151,Sid Meier's Civilization V,72.0
833,56038151,Don't Starve,58.0
838,56038151,Borderlands 2,21.0
839,56038151,Deus Ex Human Revolution,14.6
840,56038151,The Elder Scrolls V Skyrim,14.6
841,56038151,Batman Arkham Asylum GOTY Edition,14.5
842,56038151,Dead Island,12.9
844,56038151,BioShock Infinite,6.6
847,56038151,The Walking Dead,5.7
848,56038151,DC Universe Online,3.8
850,56038151,Don't Starve Together Beta,3.2
854,56038151,Trine 2,2.8
858,56038151,Borderlands,2.5
869,56038151,Left 4 Dead,1.0
871,56038151,"Warhammer 40,000 Dawn of War II",0.8
872,56038151,Portal 2,0.8
875,56038151,Bastion,0.5
876,56038151,Left 4 Dead 2,0.5
880,56038151,Mirror's Edge,0.3
891,56038151,Super Meat Boy,0.2
892,124884511,Dota 2,1447.0
893,124884511,Unturned,0.3
894,148928721,Dota 2,2594.0
895,148928721,Counter-Strike Global Offensive,51.0
897,148928721,Saints Row IV,14.8
901,148928721,Team Fortress 2,1.0
902,148928721,PAYDAY The Heist,0.4
903,148928721,War Thunder,0.4
906,150965343,Dota 2,5.3
907,46759859,Counter-Strike Condition Zero,490.0
908,46759859,Counter-Strike,316.0
911,268158408,Unturned,5.7
912,257377008,Counter-Strike Global Offensive,27.0
913,257377008,Call of Duty Black Ops II - Multiplayer,4.4
915,257377008,Call of Duty Black Ops II,0.3
916,133262375,Dota 2,290.0
917,202092286,Garry's Mod,7.6
918,136554467,Dota 2,101.0
919,136554467,Counter-Strike Global Offensive,63.0
920,185040259,Total War ROME II - Emperor Edition,4.5
921,287943546,Team Fortress 2,1.9
922,136246724,Dota 2,0.2
923,189191657,Robocraft,133.0
924,189191657,Unturned,21.0
925,189191657,Team Fortress 2,18.3
926,189191657,Heroes & Generals,4.4
929,57234698,Dota 2,2.6
930,57234698,Dead Island,1.2
935,55446861,Counter-Strike Source,22.0
936,2428602,Dota 2,473.0
937,2428602,Counter-Strike,1.4
938,104077418,"Warhammer 40,000 Dawn of War II",2.2
939,252438345,No More Room in Hell,2.7
941,164927653,Dota 2,0.2
943,9544834,Counter-Strike,101.0
945,9544834,Half-Life 2 Deathmatch,0.3
946,287061478,ARK Survival Evolved,409.0
947,32592631,Call of Duty Modern Warfare 2 - Multiplayer,110.0
948,32592631,Call of Duty Black Ops - Multiplayer,74.0
949,32592631,Sniper Elite V2,20.0
950,32592631,Call of Duty Modern Warfare 3 - Multiplayer,18.6
951,32592631,Mafia II,16.8
952,32592631,Call of Duty Modern Warfare 2,16.0
953,32592631,Call of Duty Black Ops,13.5
955,32592631,Call of Duty Modern Warfare 3,7.0
957,57103808,Mount & Blade Warband,128.0
959,57103808,Empire Total War,83.0
961,57103808,XCOM Enemy Unknown,60.0
962,57103808,Terraria,59.0
965,57103808,Total War ROME II - Emperor Edition,57.0
967,57103808,Arma 3,43.0
969,57103808,War Thunder,36.0
970,57103808,Sid Meier's Civilization V,35.0
972,57103808,Arma 2 Operation Arrowhead,28.0
973,57103808,Insurgency,27.0
975,57103808,Rising Storm/Red Orchestra 2 Multiplayer,27.0
977,57103808,Heroes & Generals,19.4
978,57103808,Napoleon Total War,17.4
979,57103808,PlanetSide 2,16.6
982,57103808,Counter-Strike Source,13.2
984,57103808,FTL Faster Than Light,11.8
985,57103808,Garry's Mod,11.5
988,57103808,Robocraft,9.5
989,57103808,Killing Floor,8.0
994,57103808,Half-Life 2,5.2
996,57103808,Counter-Strike Global Offensive,4.9
1002,57103808,Arma 2,3.3
1006,57103808,Portal,1.9
1007,57103808,Team Fortress 2,1.8
1008,57103808,No More Room in Hell,1.5
1009,57103808,Don't Starve,1.2
1021,215578265,Dota 2,1.2
1022,197172884,Unturned,0.4
1023,242349023,Dota 2,56.0
1024,99609673,Team Fortress 2,1.0
1026,63276972,Don't Starve,88.0
1027,63276972,Sid Meier's Civilization V,79.0
1029,63276972,Cities Skylines,39.0
1031,63276972,Rust,13.4
1034,63276972,AdVenture Capitalist,5.4
1035,63276972,Left 4 Dead 2,3.6
1036,63276972,Half-Life 2,3.4
1039,63276972,Portal,0.2
1041,183005527,Dota 2,6.4
1042,92342574,Call of Duty Modern Warfare 3,0.8
1043,92342574,Call of Duty Modern Warfare 3 - Multiplayer,0.3
1045,87445402,Fallout 4,83.0
1047,87445402,Hitman Absolution,16.9
1051,248613483,ARK Survival Evolved,139.0
1052,248613483,Rocket League,39.0
1054,248613483,theHunter,1.3
1058,84668956,Team Fortress 2,2.4
1059,226130045,Neverwinter,8.7
1060,145904806,Team Fortress 2,1.4
1061,164591420,Team Fortress 2,2.6
1062,171982044,Dota 2,1.6
1064,94088853,The Elder Scrolls V Skyrim,320.0
1065,94088853,Sid Meier's Civilization V,253.0
1067,94088853,Far Cry 3,29.0
1068,94088853,Age of Empires II HD Edition,27.0
1071,94088853,Borderlands 2,25.0
1074,94088853,Unturned,16.8
1075,94088853,Dota 2,15.6
1076,94088853,Dungeon Defenders,14.3
1078,94088853,The Forest,12.6
1079,94088853,Terraria,11.2
1080,94088853,Portal 2,8.1
1083,94088853,Goat Simulator,6.2
1084,94088853,Mirror's Edge,5.4
1087,94088853,Super Meat Boy,1.2
1088,94088853,Dark Souls Prepare to Die Edition,0.6
1091,48058475,Counter-Strike Source,543.0
1092,48058475,Half-Life 2 Deathmatch,81.0
1093,48058475,DC Universe Online,77.0
1094,48058475,Left 4 Dead,21.0
1095,48058475,Alien Swarm,18.8
1098,48058475,Portal,5.3
1099,48058475,Day of Defeat Source,2.2
1100,48058475,Half-Life 2 Lost Coast,0.7
1101,170095814,AdVenture Capitalist,85.0
1102,170095814,War Thunder,60.0
1104,170095814,Tomb Raider,19.6
1107,170095814,Dota 2,7.0
1108,170095814,TERA,3.9
1109,170095814,Neverwinter,1.9
1110,170095814,Robocraft,1.6
1116,212751581,Counter-Strike Global Offensive,432.0
1117,212751581,Unturned,0.6
1119,301883131,Dota 2,0.3
1120,31887051,Football Manager 2013,145.0
1121,116085629,The Elder Scrolls V Skyrim,80.0
1125,202395275,Dota 2,4.3
1126,248444377,Garry's Mod,213.0
1127,248444377,Counter-Strike Global Offensive,60.0
1133,25941262,Counter-Strike Source,89.0
1134,25941262,Counter-Strike,0.8
1135,148510973,Mount & Blade Warband,1056.0
1136,148510973,Counter-Strike Global Offensive,488.0
1137,148510973,Team Fortress 2,75.0
1138,148510973,The Elder Scrolls V Skyrim,73.0
1141,148510973,Counter-Strike Nexon Zombies,8.9
1142,148510973,Unturned,6.0
1144,148510973,Left 4 Dead 2,2.4
1145,148510973,Rust,1.5
1146,148510973,Chivalry Medieval Warfare,1.4
1147,148510973,Grand Theft Auto San Andreas,0.9
1148,148510973,Rocket League,0.7
1150,148510973,Portal 2,0.6
1151,148510973,Mafia II,0.5
1152,148510973,Terraria,0.3
1156,64369759,DC Universe Online,43.0
1160,64369759,"Warhammer 40,000 Dawn of War II",23.0
1161,64369759,Dota 2,19.6
1164,64369759,Tomb Raider,17.3
1166,64369759,Batman Arkham Asylum GOTY Edition,16.2
1170,64369759,Borderlands,12.1
1171,64369759,Marvel Heroes 2015,9.5
1172,64369759,Borderlands 2,9.4
1173,64369759,BioShock,9.3
1180,64369759,Far Cry 3,4.9
1183,64369759,The Witcher 2 Assassins of Kings Enhanced Edition,3.5
1185,64369759,Portal,3.2
1189,64369759,Portal 2,1.9
1192,64369759,The Witcher Enhanced Edition,1.4
1200,64369759,Trine 2,0.4
1210,289893544,Dota 2,4.8
1211,223471406,Dota 2,2.7
1212,210778610,Dota 2,5.7
1213,125699277,DC Universe Online,57.0
1214,173857208,Dota 2,0.6
1215,9823354,Total War SHOGUN 2,243.0
1216,9823354,Total War ROME II - Emperor Edition,218.0
1217,9823354,Empire Total War,193.0
1218,9823354,Sid Meier's Civilization V,153.0
1219,9823354,The Elder Scrolls V Skyrim,143.0
1220,9823354,The Witcher 2 Assassins of Kings Enhanced Edition,136.0
1224,9823354,XCOM Enemy Unknown,65.0
1226,9823354,Fallout 3 - Game of the Year Edition,62.0
1227,9823354,The Witcher Enhanced Edition,61.0
1231,9823354,FTL Faster Than Light,32.0
1236,9823354,BioShock,26.0
1237,9823354,Batman Arkham City GOTY,26.0
1238,9823354,Half-Life 2,24.0
1241,9823354,Far Cry 3,22.0
1247,9823354,HAWKEN,19.7
1248,9823354,Dishonored,19.7
1250,9823354,Tomb Raider,19.1
1253,9823354,Portal 2,16.9
1256,9823354,BioShock Infinite,15.6
1260,9823354,Amnesia The Dark Descent,14.8
1262,9823354,The Walking Dead,13.8
1263,9823354,Half-Life 2 Episode Two,13.2
1264,9823354,PlanetSide 2,13.1
1265,9823354,Team Fortress 2,12.6
1274,9823354,Metro 2033,11.0
1278,9823354,Castle Crashers,9.0
1280,9823354,Portal,8.2
1281,9823354,Counter-Strike Source,7.9
1283,9823354,Deus Ex Human Revolution,7.4
1292,9823354,Half-Life 2 Episode One,5.2
1303,9823354,Left 4 Dead 2,2.7
1304,9823354,Borderlands 2,2.2
1306,9823354,Counter-Strike,2.2
1311,9823354,Dead Island,1.8
1314,9823354,The Forest,1.5
1316,9823354,Fallout New Vegas,1.4
1318,9823354,Rising Storm/Red Orchestra 2 Multiplayer,1.2
1321,9823354,Alien Swarm,1.1
1324,9823354,Mirror's Edge,1.0
1326,9823354,PAYDAY 2,0.9
1335,9823354,Cities Skylines,0.4
1336,9823354,Half-Life 2 Lost Coast,0.4
1340,9823354,Day of Defeat Source,0.2
1342,9823354,Half-Life 2 Deathmatch,0.1
1344,165269326,Dota 2,26.0
1345,226033921,Grand Theft Auto V,86.0
1346,226033921,Marvel Heroes 2015,6.1
1347,226033921,Dota 2,1.8
1349,232064401,Dota 2,4.5
1350,141593973,Dota 2,423.0
1351,174965596,Dota 2,6.6
1352,100519466,Arma 3,2484.0
1353,100519466,Garry's Mod,188.0
1354,100519466,ARK Survival Evolved,183.0
1355,100519466,Arma 2 Operation Arrowhead,147.0
1356,100519466,Saints Row The Third,114.0
1357,100519466,Space Engineers,83.0
1358,100519466,Robocraft,73.0
1359,100519466,Team Fortress 2,36.0
1361,100519466,PAYDAY 2,30.0
1362,100519466,Euro Truck Simulator 2,29.0
1365,100519466,BLOCKADE 3D,19.4
1366,100519466,HAWKEN,17.7
1367,100519466,Borderlands 2,15.6
1368,100519466,Portal 2,15.0
1369,100519466,Dishonored,14.8
1370,100519466,Rocket League,9.7
1371,100519466,Dead Island,6.9
1373,100519466,Warframe,6.6
1375,100519466,Don't Starve,3.6
1376,100519466,The Elder Scrolls V Skyrim,3.5
1377,100519466,PlanetSide 2,3.4
1379,100519466,War Thunder,1.6
1380,100519466,APB Reloaded,1.4
1382,100519466,Arma 2,0.8
1383,100519466,Saints Row IV,0.6
1386,107886872,Left 4 Dead 2,27.0
1387,107886872,Trine 2,2.8
1388,153415214,Dota 2,0.2
1389,180789959,Borderlands 2,14.8
1390,180789959,The Elder Scrolls V Skyrim,5.0
1391,180789959,Team Fortress 2,3.5
1392,236541446,Dota 2,0.2
1393,155997063,Team Fortress 2,3.0
1394,168031436,Fallout New Vegas,60.0
1395,168031436,The Elder Scrolls V Skyrim,14.1
1396,168031436,Saints Row The Third,12.5
1397,168031436,Tom Clancy's Ghost Recon Phantoms - NA,9.0
1398,168031436,Fallout 3 - Game of the Year Edition,7.3
1399,168031436,Garry's Mod,4.8
1401,168031436,Metro 2033,3.0
1405,168031436,Grand Theft Auto San Andreas,0.5
1407,168031436,Rust,0.4
1410,169358223,Team Fortress 2,407.0
1412,181269219,Magicka Wizard Wars,2.6
1413,162543176,Counter-Strike Global Offensive,21.0
1414,162543176,Garry's Mod,20.0
1415,162543176,Team Fortress 2,11.5
1416,162543176,Borderlands 2,2.0
1418,162543176,Just Cause 2,0.3
1419,95898619,Counter-Strike Source,396.0
1420,95898619,Counter-Strike Global Offensive,227.0
1422,95898619,Counter-Strike Condition Zero,12.6
1424,95898619,Dead Island,10.1
1425,95898619,Counter-Strike,2.4
1426,185685666,theHunter,0.7
1427,185685666,Unturned,0.6
1428,185685666,Robocraft,0.2
1429,308280913,Dota 2,2.3
1430,69857045,Mafia II,21.0
1431,215492239,Unturned,6.2
1432,16167221,Counter-Strike Condition Zero,722.0
1435,16167221,Counter-Strike,35.0
1437,16167221,The Forest,19.7
1438,16167221,Total War ROME II - Emperor Edition,15.9
1439,16167221,Half-Life 2,13.0
1442,16167221,Half-Life 2 Episode One,7.0
1445,16167221,Team Fortress 2,2.1
1446,16167221,Portal,1.9
1448,16167221,Warframe,1.3
1450,16167221,Half-Life 2 Episode Two,1.0
1451,16167221,Neverwinter,0.7
1452,16167221,Half-Life 2 Lost Coast,0.6
1458,19586574,Counter-Strike,38.0
1459,19586574,Portal 2,25.0
1462,19586574,Garry's Mod,12.2
1463,19586574,Counter-Strike Global Offensive,11.4
1465,19586574,Left 4 Dead 2,6.9
1468,19586574,Dota 2,3.3
1469,19586574,Counter-Strike Condition Zero,3.3
1477,200759485,Counter-Strike,5.1
1478,200759485,Dota 2,0.4
1480,153290864,Team Fortress 2,0.8
1481,213909719,The Binding of Isaac,67.0
1482,219446813,Dota 2,210.0
1483,41883322,The Elder Scrolls V Skyrim,107.0
1486,41883322,Batman Arkham City GOTY,36.0
1488,41883322,Total War SHOGUN 2,24.0
1501,41883322,Marvel Heroes 2015,0.8
1505,260269555,Dota 2,3.2
1506,186333740,Dota 2,6.6
1507,237047627,BLOCKADE 3D,0.7
1508,142004534,Dota 2,94.0
1509,99017037,Far Cry 3,143.0
1511,99017037,Torchlight II,44.0
1512,170491009,Terraria,286.0
1513,170491009,Team Fortress 2,197.0
1514,170491009,Garry's Mod,55.0
1515,170491009,The Elder Scrolls V Skyrim,48.0
1516,170491009,Far Cry 3,34.0
1517,170491009,Borderlands 2,31.0
1519,170491009,ARK Survival Evolved,31.0
1520,170491009,Rocket League,14.4
1521,170491009,Warframe,14.1
1525,170491009,BattleBlock Theater,4.6
1527,170491009,Robocraft,4.2
1530,195459356,Arma 2 Operation Arrowhead,0.5
1531,30280104,Counter-Strike Source,3.3
1532,30280104,Half-Life 2 Deathmatch,2.0
1533,30280104,Dota 2,1.5
1534,227153589,Dota 2,1.2
1535,64365339,Call of Duty Modern Warfare 2 - Multiplayer,80.0
1536,64365339,Call of Duty Modern Warfare 2,24.0
1537,64365339,Portal,14.0
1538,103669953,Portal 2,4.7
1541,299670894,Euro Truck Simulator 2,3.9
1542,237275985,Counter-Strike Global Offensive,46.0
1543,178709401,Dota 2,200.0
1544,198156213,Dota 2,17.0
1545,190231757,The Elder Scrolls V Skyrim,18.0
1548,212284721,Dota 2,0.9
1549,20321898,Counter-Strike Source,1.0
1550,48239695,Sid Meier's Civilization V,312.0
1551,48239695,Fallout New Vegas,98.0
1552,48239695,Half-Life 2,22.0
1553,48239695,Half-Life 2 Episode Two,7.2
1554,48239695,Half-Life 2 Episode One,5.6
1555,48239695,Portal,0.2
1557,201512283,Dota 2,0.4
1562,131227694,Counter-Strike Global Offensive,90.0
1563,131227694,Borderlands 2,29.0
1564,131227694,Rocket League,28.0
1569,131227694,Dota 2,2.0
